slot,campus,segment,target_circle,lead_name,lead_email,status,next_step,orientation_token,notes
1,bocconi,undergrad-first-years,first-year trusted five,,,target,find lead,bocconi-orientation-week,
2,bocconi,exchange-students,exchange landing circle,,,target,find lead,bocconi-orientation-week,
3,bocconi,msc-management,msc management circle,,,target,find lead,bocconi-orientation-week,
4,bocconi,finance,finance study circle,,,target,find lead,bocconi-orientation-week,
5,bocconi,marketing,marketing launch circle,,,target,find lead,bocconi-orientation-week,
6,bocconi,law,law cohort circle,,,target,find lead,bocconi-orientation-week,
7,bocconi,ai-builders,ai builders circle,,,target,find lead,bocconi-orientation-week,
8,bocconi,design-ux,design and ux circle,,,target,find lead,bocconi-orientation-week,
9,bocconi,entrepreneurship,founder builders circle,,,target,find lead,bocconi-orientation-week,
10,bocconi,student-club-hosts,club host circle,,,target,find lead,bocconi-orientation-week,
11,bocconi,residence,student residence circle,,,target,find lead,bocconi-orientation-week,
12,bocconi,sports,sports team circle,,,target,find lead,bocconi-orientation-week,
13,bocconi,music-events,music and events circle,,,target,find lead,bocconi-orientation-week,
14,bocconi,international-students,international circle,,,target,find lead,bocconi-orientation-week,
15,bocconi,scholarship-students,scholarship cohort circle,,,target,find lead,bocconi-orientation-week,
16,bocconi,product-people,product feedback circle,,,target,find lead,bocconi-orientation-week,
17,bocconi,consulting,consulting prep circle,,,target,find lead,bocconi-orientation-week,
18,bocconi,creators,private creator circle,,,target,find lead,bocconi-orientation-week,
19,bocconi,nightlife,orientation night circle,,,target,find lead,bocconi-orientation-week,
20,bocconi,late-arrivals,late-arrival helper circle,,,target,find lead,bocconi-orientation-week,
